category,n,A1_recall5,A1_recall10,A1_cit_f1,A5_recall5,A5_recall10,A5_cit_f1,delta_cit_f1
Anayasa,9,0.111,0.222,0.111,0.667,0.778,0.667,0.556
Borçlar,7,0.857,0.857,0.143,0.857,1.000,0.786,0.643
Ceza (TCK),15,0.200,0.267,0.178,0.600,0.733,0.533,0.356
İcra/İflas,10,0.200,0.300,0.000,0.500,0.500,0.000,0.000
İdare,7,0.286,0.429,0.000,0.714,1.000,0.500,0.500
İdari,9,0.778,0.778,0.156,1.000,1.000,0.963,0.807
İdari Yargı,8,0.875,0.875,0.000,0.750,0.875,0.000,0.000
Kişisel Veri,7,0.143,0.286,0.000,0.857,1.000,0.667,0.667
Medeni (TMK),14,0.571,0.714,0.000,0.643,0.714,0.643,0.643
Ticaret,9,0.556,0.667,0.000,0.889,0.944,0.000,0.000
Trafik,10,0.000,0.000,0.000,0.600,0.600,0.200,0.200
Tüketici,8,0.688,0.688,0.175,0.812,0.938,0.833,0.658
Vergi,9,0.333,0.333,0.000,0.556,0.667,0.444,0.444
